1531,1355,1900
1532,1354,1100
1532,1354,1900
1532,1354,1100
1533,1353,1900
1533,1353,1100
1534,1352,1900
1534,1352,1100
1534,1352,1900
1535,1351,1100
1535,1351,1900
1536,1351,1100
1536,1350,1900
1536,1350,1100
1537,1349,1900
1537,1349,1100
1537,1349,1900
1538,1348,1100
1538,1348,1900
1539,1348,1100
1539,1347,1900
1541,1349,1100
1543,1351,1900
1545,1353,1100
1547,1355,1900
1549,1357,1100
1551,1359,1900
1553,1361,1100
1555,1363,1900
1557,1365,1100
1559,1367,1900
1561,1369,1100
1563,1372,1900
1565,1374,1100
1567,1376,1900
1569,1378,1100
1571,1380,1900
1573,1382,1100
1575,1384,1900
1577,1386,1100
1579,1388,1900
1581,1390,1100
1583,1392,1900
1585,1394,1100
1587,1396,1900
1589,1398,1100
1591,1400,1900
1593,1402,1100
1595,1404,1900
1597,1406,1100
1598,1408,1900
1600,1410,1100
1602,1412,1900
1604,1414,1100
1606,1416,1900
1608,1418,1100
1610,1420,1900
1612,1422,1100
1614,1424,1900
1616,1426,1100
1618,1428,1900
1620,1430,1100
1622,1432,1900
1624,1434,1100
1626,1436,1900
1628,1438,1100
1630,1440,1900
1632,1442,1100
1634,1444,1900
1636,1446,1100
1638,1448,1900
1639,1450,1100
1641,1452,1900
1643,1454,1100
1645,1456,1900
1647,1458,1100
1649,1460,1900
1651,1462,1100
1653,1464,1900
1655,1466,1100
1657,1468,1900
1656,1468,1100
1656,1468,1900
1655,1468,1100
1654,1469,1900
1654,1469,1100
1653,1469,1900
1653,1469,1100
1652,1469,1900
1651,1470,1100
1651,1470,1900
1650,1470,1100
1649,1470,1900
1649,1470,1100
1648,1471,1900
1648,1471,1100
1647,1471,1900
1646,1471,1100
1646,1471,1900
1645,1472,1100
1645,1472,1900
1644,1472,1100
1643,1472,1900
1643,1472,1100
1642,1473,1900
1641,1473,1100
1641,1473,1900
1640,1473,1100
1640,1474,1900
1639,1474,1100
1638,1474,1900
1638,1474,1100
1637,1475,1900
1636,1475,1100
1636,1475,1900
1635,1475,1100
1634,1476,1900
1634,1476,1100
1633,1476,1900
1633,1476,1100
1632,1477,1900
1631,1477,1100
1631,1477,1900
1630,1478,1100
1629,1478,1900
1629,1478,1100
1628,1478,1900
1627,1479,1100
1627,1479,1900
1626,1479,1100
1625,1480,1900
1625,1480,1100
1624,1480,1900
1624,1480,1100
1623,1481,1900
1622,1481,1100
1622,1481,1900
1621,1482,1100
1620,1482,1900
